date,ticker,ret,abs_ret,rolling_volatility,threshold,is_extreme
2025-04-09,NVDA,0.1872274602472727,0.1872274602472727,0.05530106042158821,3.0,True
2025-04-09,ORCL,0.1220080517382022,0.1220080517382022,0.03983028296572359,3.0,True
2025-06-12,ORCL,0.1331216412151665,0.1331216412151665,0.03213765439328809,3.0,True
2025-07-16,ASML,-0.0833150927361902,0.0833150927361902,0.024921441031476515,3.0,True
2025-07-31,META,0.1125271293080303,0.1125271293080303,0.027514411329961543,3.0,True
2025-07-31,MSFT,0.0394747294659816,0.0394747294659816,0.010509334026228962,3.0,True
2025-08-06,AAPL,0.0509067707681243,0.0509067707681243,0.01445249633882875,3.0,True
2025-09-10,ORCL,0.359488195272069,0.359488195272069,0.08468016078064373,3.0,True
2025-09-15,ASML,0.0656493318135698,0.0656493318135698,0.02168252489382725,3.0,True
2025-09-18,INTC,0.2277108499260538,0.2277108499260538,0.05372402455211668,3.0,True
2025-10-06,AMD,0.2370802755755683,0.2370802755755683,0.05457771701317097,3.0,True
2025-10-30,META,-0.1133476846591798,0.1133476846591798,0.029446864147330536,3.0,True
2026-01-02,ASML,0.0877872869183484,0.0877872869183484,0.027736968080162797,3.0,True
2026-01-20,AAPL,-0.0345556368067815,0.0345556368067815,0.00959233444541508,3.0,True
2026-01-22,META,0.0565615648805588,0.0565615648805588,0.018511800260089185,3.0,True
2026-01-29,META,0.1040480222203161,0.1040480222203161,0.030121536393962606,3.0,True
2026-01-29,MSFT,-0.0999314917984048,0.0999314917984048,0.026888200383829008,3.0,True
2026-02-04,AMD,-0.1731444304789823,0.1731444304789823,0.05122627025136632,3.0,True
2026-03-26,META,-0.0795946064905396,0.0795946064905396,0.023405661578207327,3.0,True
